timestamp;tag;duration;package_0;dram_0;core_0;uncore_0
1780737061.0155518;render_scene;41.367220640182495;320323826.0;43447154.0;278128438.0;3158683.0
1780737102.3831015;render_scene;41.594667196273804;322005035.0;43525097.0;279419024.0;3142998.0
1780737143.978038;render_scene;41.642168283462524;325494039.0;43726694.0;281974925.0;3205619.0
1780737185.6205292;render_scene;41.52766680717468;323747402.0;43291576.0;278726032.0;3098014.0
1780737227.1488297;render_scene;41.661418199539185;327050493.0;43741404.0;281687206.0;3069817.0
1780737268.8108501;render_scene;41.38146996498108;324408593.0;43141980.0;279414996.0;3006279.0
1780737310.1926246;render_scene;41.362279415130615;324840355.0;43225231.0;279719255.0;3036674.0
1780737351.5554845;render_scene;41.46516942977905;325157310.0;43289746.0;279964615.0;3046989.0
1780737393.020951;render_scene;42.648869037628174;326543048.0;43851756.0;280892714.0;2910699.0
1780737435.6701303;render_scene;41.45404887199402;325001610.0;43303295.0;279723100.0;3164847.0
1780737477.124438;render_scene;41.81209087371826;325536520.0;43370128.0;280070022.0;3114983.0
1780737518.9368236;render_scene;41.677053928375244;326360187.0;43373729.0;280906691.0;3114738.0
1780737560.6141894;render_scene;41.44740056991577;326705585.0;43472118.0;281136976.0;3300589.0
1780737602.0619292;render_scene;41.300169944763184;323843714.0;43087597.0;278693928.0;3164726.0
1780737643.3625512;render_scene;41.46369218826294;326281086.0;43148022.0;281019056.0;3082573.0
1780737684.8267066;render_scene;52.33615040779114;336032709.0;49104733.0;284453190.0;3273551.0
1780737737.1631665;render_scene;41.346628189086914;325202659.0;43024548.0;280058731.0;3185173.0
1780737778.5101018;render_scene;42.36744952201843;327118669.0;43741160.0;281195630.0;3134147.0
1780737820.8780375;render_scene;41.534913778305054;329010205.0;43425914.0;283448920.0;3100212.0
1780737862.4132721;render_scene;52.1280312538147;335090451.0;49031552.0;284075689.0;3021842.0
1780737914.5419118;render_scene;41.36701583862305;323384548.0;43138013.0;278567890.0;2922478.0
1780737955.9095192;render_scene;41.83979034423828;328699537.0;43809641.0;283039559.0;3018120.0
1780737997.7495995;render_scene;41.7301926612854;327724747.0;43324779.0;282297922.0;2989800.0
1780738039.4802487;render_scene;41.34603142738342;325168051.0;43100842.0;280152542.0;2972343.0
1780738080.826888;render_scene;41.203989028930664;323023831.0;43012951.0;278258687.0;2974968.0
1780738122.0312765;render_scene;41.16136288642883;324782372.0;43031262.0;279969315.0;2955864.0
1780738163.1929433;render_scene;41.2002375125885;324881065.0;43097363.0;279985368.0;2978325.0
1780738204.393471;render_scene;42.628077268600464;325173606.0;43695323.0;279513872.0;2896233.0
1780738247.0218444;render_scene;41.334887742996216;324744041.0;43117504.0;279738236.0;2986442.0
1780738288.357025;render_scene;41.506240367889404;327175616.0;43298779.0;281898387.0;3033440.0
